,Tweet,Stemmed,Sentimen
588, anak kelas ll mts bobol situs kpu pemilu  hoax hati karena kejadian tersebut tahun , anak kelas bobol situs kpu pemilu  hoax hati jadi sebut tahun ,1
589, kpuid offset nih kok makan ke halaman tetangga, kpuid offset makan halaman tetangga ,-1
590, lo yang punya masalah bukan system nya kpu yang salah, punya masalah bukan system kpu salah ,-1
591, tolong jangan cuma mengawasi tentang situng kpu saja mohon dikuatkan pasukan, jangan awas situng kpu mohon dikuatkan pasuk ,1
592, sabar biarkanlah kpuid mengerjakan kesalahan entri datanya yang diklaim sebagai kecurangan sampai, sabar biarkanlah kpuid kerja salah entri datanya diklaim bagai curang ,1
593, semoga kawan seperjuangan kita ini baik saja mereka berdualah yang berhasil membongkar masalah kebocoran server kpu, moga kawan seperjuangan baik hasil bongkar masalah bocor server kpu ,-1
594, ulama kota madiun apresiasi kpu dalam pemilu damai, ulama kota madiun apresiasi kpu pemilu damai ,1
595, kpuid kalo tunduk pada undang jujurlah dalam mengemban amanat rakyat, kpuid tunduk undang jujurlah emban amanat rakyat ,1
596, emang siapa pulang ke indonesia tidak berani mau nekan kpu, emang siapa pulang indonesia berani nekan kpu ,1
597, sebab kpuid bingung bagaimana caranya mempertahankan kecurangan, kpuid bingung bagaimana caranya tahan curang ,-1
598, di viralkan nih supaya people power ke kpuid disegerakan, viralkan people power kpuid disegerakan ,-1
599, tolak narasi kecurangan, tolak narasi curang ,-1
600, semoga kpu secepatnya di audit, moga kpu cepat audit ,-1
601, resmi bpn prabowo sandiaga laporkan kpu dan lembaga survei ke bawaslu, resmi bpn prabowo sandiaga laporkan kpu lembaga survei bawaslu ,-1
602, perabotan bekas warnet itu sekarang disimpan di kantor kpu dgn bangga dia tunjukkan perabotan itu tanpa merasa malu, perabotan bekas warnet sekarang disimpan kantor kpu dgn bangga tunjukkan perabotan rasa malu ,-1
603, mereka lagi mikir dan memperlambat gimana kalo mubahalah nya diganti sama maaf dan mengakui kecurangan so pasti, mikir lambat gimana mubahalah diganti sama maaf curang so ,-1
604,  pemilu yg paling buruk sepanjang sejarah, pemilu paling buruk panjang sejarah ,-1
605, kelak di depan kantor kpu akan dibangun monumen seperti ini, kelak depan kantor kpu dibangun monumen ,-1
606, kpuid  cuma jualan omong kosong saja dengan adanya form c palsu yang di upload sebenarnya kpu sudah jadi penyebar hoax, kpuid  jual omong kosong form c palsu upload benar kpu jadi sebar hoax ,-1
607, jika kesalahan sistem situng kpu maka perlu jika ada tindak pidana, salah sistem situng kpu perlu tindak pidana ,-1
608, gelar ikrar bersama dan syukuran warga jakut ajak semua hormati kpu, gelar ikrar sama syukur warga jakut ajak semua hormati kpu ,1
609, kpuid klo dikasi foto ntar dibilang ibadah di pamerin sok bener sok suci, kpuid klo dikasi foto dibilang ibadah pamerin bener suci ,-1
610, situng kpu disusupi c palsu suara jokowi di medan naik bertambah karakternya pemalsu zalim arogan korup ingkar, situng kpu disusupi c palsu suara jokowi medan naik tambah karakternya palsu zalim arogan korup ingkar ,-1
611, kpuid bangun toilet umum aja klo masjid jangan lah, kpuid bangun toilet umum klo masjid jangan ,-1
612, ngebet amat boneka pengen menang kpu aja belum ngeluarin keputusan , ngebet boneka pengen menang kpu ngeluarin putus ,1
613, ketularan penyakit genetik kpuid nih penyakit salah input, tular sakit genetik kpuid sakit salah input ,-1
614, awal kehancuran bagi kpu, awal hancur kpu ,-1
615, nanti kedenger kpuid jadi presiden ke  lo, kedenger kpuid jadi presiden  ,-1
616, kpuid sudah kena virus input data kpu korup angka, kpuid kena visa input data kpu korup angka ,-1
617, yang ada banyak itu dihasilkan dari keringat lembur bahkan nyawa sungguh dzolim petugas kpu entry data, banyak dihasilkan keringat lembur bahkan nyawa sungguh dzolim tugas kpu entry data ,-1
618, kpuid kirain tunduk sama sogokan buktikan kalo kerja anda benar jika curang tinggal pilih mau azab seperti apa yg kalian mau, kpuid tunduk sama sogok buktikan kerja benar curang tinggal pilih azab kalian ,-1
619, bila situng distop berarti membuktikan lagi bahwa sekira  triliun itu hanya sebuah kertas tidak bermakna nilai, bila situng distop arti bukti sekira  triliun sebuah kertas makna nilai ,1
620, katanya menang kok minta c pada kpu, katanya menang minta c kpu ,1
621, kpuid benar mas kepikiran juga gimana ceritanya c palsu bisa lolos masuk ke situng kpu dah, kpuid benar mas kepikiran gimana ceritanya c palsu lolos masuk situng kpu ,-1
622, parah benar kpuid , parah benar kpuid ,-1
623, para ahli yang dulu memprakarsai dan memperjuangkan pemilu serentak ini menyadari betapa berat sistem pemilu, ahli dulu prakarsa juang pemilu rentak sadar betapa berat sistem pemilu ,-1
624, kpuid bener juga tuh, kpuid bener ,1
625, sungguh terlalu kpu curang lagi, sungguh lalu kpu curang ,-1
626, kpuid duit sisa amplop serangan fajar kali, kpuid duit sisa amplop serang fajar kali ,-1
627, kpuid kami tak percaya lagi sama kpu banyak omong mulai dari kardus anti air kuat, kpuid percaya sama kpu banyak omong mulai kardus anti air kuat ,-1
628, lihat hasil real count kpuid sangat amburadul dan cenderung tidak netral coba kita poling aja siapa presiden real, lihat hasil real count kpuid sangat amburadul cenderung netral coba poling siapa presiden real ,-1
629, cuma mau nanya jadi kesalahan input sama kecurangan hubungannya dimana terus bisa di buktikan, nanya jadi salah input sama curang hubung terus buktikan ,1
630, duh gimna sih bapak ini ikutan kpu ya pak human error , duh gimna bapak ikut kpu human error ,-1
631, ruang situng kpu jorok mencerminkan amburadul hasilnya jauh dibandingkan kerapihan warnet, ruang situng kpu jorok cermin amburadul hasilnya jauh dibandingkan kerapihan warnet ,-1
632, wahai kpuid lihatlah lalu bagaimana pula pembelaanmu wahai budget , wahai kpuid lihatlah lalu bagaimana pembelaanmu wahai budget ,-1
633, harusnya serukan juga pilpres jangan curang  kpu harus jujur  bahaya imperialisme cina lewat obor dan jerat utang, harusnya serukan pilpres jangan curang  kpu jujur  bahaya imperialisme cina lewat obor jerat utang ,-1
634, kpuid kerja yang bener, kpuid kerja bener ,-1
635, kpu ri hanya menampilkan data c yang sudah direkapitulasi ditingkat kpps kecamatan kabupaten, kpu ri tampil data c direkapitulasi ditingkat kpps camat kabupaten ,1
636, kpuid saya curiga ini hoax kenapa mukanya tidak tampak, kpuid curiga hoax mukanya tampak ,-1
637, kpu depok salah input lagi suara jokowi  ditulis , kpu depok salah input suara jokowi  ditulis ,-1
638, innalillahiwainnahillahirojiun pemilu terburuk pasca berdirinya nkri kenapa tidak ketua kpu aja yang dipecat, innalillahiwainnahillahirojiun pemilu terburuk pasca diri nkri ketua kpu dipecat ,-1
639, tuduhan terhadap kpu sangat kacau dan brutal, tuduh hadap kpu sangat kacau brutal ,1
640, tanda orang takut ketahuan salah, tanda takut tahu salah ,-1
641, masalahnya apa yang akan dikatakan kpu prosesnya tidak di lalui dengan elegan, masalahnya dikatakan kpu prosesnya lalui elegan ,-1
642, kpuid nya salah ya mungkin ada yang berkomplot, kpuid salah mungkin komplot ,-1
643, kpuid kenapa mukanya tidak tampak, kpuid mukanya tampak ,-1
644, alhamdulillah sudah ada  bukti kecurangan pemilu presiden  yang dilaporkan ke bawaslu, alhamdulillah  bukti curang pemilu presiden  dilaporkan bawaslu ,-1
645, kpuid jangan lupa bahwa anggota dpr itu didalmnya yang memiliki suara mayoritas ada dikubu siapa, kpuid jangan lupa anggota dpr didalmnya milik suara mayoritas dikubu siapa ,-1
646, sampai kapan kpuri terus membodohi rakyat, kapan kpuri terus membodohi rakyat ,-1
647, kpuid tanya duluan data dari mana dia klaim menang emang jago ngarang, kpuid tanya duluan data mana klaim menang emang jago ngarang ,1
648, prof romli maklumat rizieq shihab untuk duduki kpu tindakan pidana, prof romli maklumat rizieq shihab duduki kpu tindak pidana ,1
649, kpuid banyak suara dicoblos setan siapa yang mesti selesaikan, kpuid banyak suara dicoblos setan siapa mesti selesaikan ,-1
650, padahal bukannya foto c juga ada dari kpuid banyak orang bilang ratusan korban panitia meninggal adalah, padahal bukannya foto c kpuid banyak bilang ratus korban panitia tinggal ,-1
651, kpuid ruangan kecil sumpek, kpuid ruang kecil sumpek ,-1
652, ingin tetap transparan kpu tolak hentikan situng, tetap transparan kpu tolak hentikan situng ,1
653, kejahatan dan kecurangan pemilu ada di mana tetapi penghitungan tetap berlanjut di kpu pusat seolah kejahatan itu angin lalu, jahat curang pemilu mana hitung tetap lanjut kpu pusat jahat angin lalu ,-1
654, kena virus kpu  hilang  angka, kena visa kpu  hilang  angka ,-1
655, kpuid karena dia adalah mereka dalam kolam yang sama, kpuid kolam sama ,-1
656, kami sudah infokan bahwa digedung kpu itu ibarat hanya penerima karena semua database situng dikirimkan dari daerah depan, infokan digedung kpu ibarat terima semua database situng dikirimkan daerah depan ,1
657, tindaklanjuti laporan bpn bawaslu akan sidangkan salah input data kpu   , tindaklanjuti lapor bpn bawaslu sidangkan salah input data kpu  ,-1
658, kpuid amburadul, kpuid amburadul ,-1
659, revolusi dengan jargon reformasi nurunin soeharto korban meninggal berapa pemilu  t penyelenggara kpuid korban meninggal banyak, revolusi jargon reformasi nurunin korban tinggal berapa pemilu  t selenggara kpuid korban tinggal banyak ,-1
660, temennya kpu kali rb jadi nambah nolnya jadi jt, temennya kpu kali jadi nambah nolnya jadi ,-1
661, kpu itu independen dan tidak berpihak pada siapapun, kpu independen pihak siapapun ,1
662, kpu curang surat suara sudah tercoblos siapa yang di untungkan, kpu curang surat suara tercoblos siapa untungkan ,-1
663, kpuid muak dengan basa basi kalian, kpuid muak basa basi kalian ,-1
664, kalo pada teknis hitung kpu nya saya berharap bapak pun minta pemerintah serius agar tidak salah input terus, teknis hitung kpu harap bapak minta perintah serius salah input terus ,-1
665, bawaslu bali temukan lebih  ribu surat panggilan memilih c di buleleng bali tidak dikirim kpu di buleleng bali, bawaslu bali temukan lebih  ribu surat panggil pilih c buleleng bali dikirim kpu buleleng bali ,-1
666, mardani pks anggap situng kpu sunah wajibnya rekapitulasi manual, mardani pks anggap situng kpu sunah wajibnya rekapitulasi manual ,-1
667, dugaan situng kpu sengaja dibuat rentan manipulasi, duga situng kpu sengaja dibuat rentan manipulasi ,-1
668, mantap semoga informasi ini benar adanya, mantap moga informasi benar ,1
669, kpuid edan ya ini bukan malu atau tidak malu tapi persoalan ada etika dan hukum jika lolos dipengadilan, kpuid edan bukan malu malu soal etika hukum lolos dipengadilan ,-1
670, surabaya pun bergerak setelah sholat jumat kemarin siang memperjuangkan kebenaran untuk melawan kecurangan yang dilakukan, surabaya gerak sholat jumat kemarin siang juang benar lawan curang dilakukan ,-1
671, kpu maling, kpu maling ,-1
672, maaf tadi twitter dibajak hacker kpu, maaf tadi twitter dibajak hacker kpu ,-1
673, miris aduh kpu ruangannya berantakan kaya kandang kebo, miris kpu ruang berantak kaya kandang kebo ,-1
674, ada yang minta bukti emang nya kpu tidak bisa melihat kecurangan ada didepan mata kami akan bawa semua bukti kita, minta bukti emang kpu lihat curang didepan mata bawa semua bukti ,-1
675, kpuid kpu nya tidak netral  kaya  wasit  sepak  bola  ngebolin  pertanyaanya  kalau menurut  kalian, kpuid kpu netral  kaya  wasit  sepak  bola  ngebolin  pertanyaanya  kalau turut  kalian ,-1
676, bapak mau tanya jika kpu tidak dipercaya rakyat apakah permintaan pembubarannya ke dpr, bapak tanya kpu dipercaya rakyat minta bubar dpr ,-1
677, katanya kpuid tak bisa ditekan nyatanya entri data dibuat salah, katanya kpuid ditekan nyatanya entri data dibuat salah ,-1
678, tolong situng kpu di stop ganti dengan real count bpn live dari warnet ke warnet, situng kpu stop ganti real count bpn live warnet warnet ,-1
679, jika kpu bawaslu punya niat baik untuk bangsa dan negara kita nkri ini mubahalah pasti disambut dimana hatimu, kpu bawaslu punya niat baik bangsa negara nkri mubahalah disambut hatimu ,-1
680, tangkap ketua kpu , tangkap ketua kpu ,-1
681, sudah  hari lapor salah input tps karangasem kok belum dikoreksi kpu,  hari lapor salah input tps karangasem dikoreksi kpu ,-1
682, bpn prabowo sandiaga laporkan kpu dan lembaga survei ke bawaslu, bpn prabowo sandiaga laporkan kpu lembaga survei bawaslu ,-1
683, kalau benar halnnya seperti yang dijawab oleh ketua kpu maka situng yang banyak salah meresahkan publik tapi bisa dipakai untuk framing, kalau benar halnnya dijawab ketua kpu situng banyak salah resah publik dipakai framing ,-1
684, sebaiknya kpu setop tayangkan perhitungan di situng, baik kpu setop tayangkan hitung situng ,-1
685, kekalahan sudah didepan mata pegang dong komitmen awal siapa kalah menang jangan kpu disuruh berhenti, kalah didepan mata pegang dong komitmen awal siapa kalah menang jangan kpu disuruh henti ,1
686, kpuid kursi sekarang kurang empuk, kpuid kursi sekarang kurang empuk ,-1
687, sindir anak sma lebih jago dari tim it kpu, sindir anak sma lebih jago tim it kpu ,-1
688, kpu sudah di kontrak mati memenangkan  bagaimana pun cara nya, kpu kontrak mati menang  bagaimana cara ,-1
689, bener kan pak sekarang mah kpuid udah bukan cuma salah input malah ikutan corat coret, bener sekarang kpuid udah bukan salah input malah ikut corat coret ,-1
690, kecurangan bukan ditangani oleh mk tapi bawaslu dan kpu, curang bukan ditangani mk bawaslu kpu ,-1
691, ebles situng bukan menyediakan informasi tapi sudah bertendensi memanipulasi informasi untuk membentuk dan menggiring opini, situng bukan sedia informasi tendensi manipulasi informasi bentuk giring opini ,-1
692, kpuid mantap jangan mau diintervensi tegas maju terus, kpuid mantap jangan diintervensi tegas maju terus ,1
693, sejak kapan quickcount kpu, sejak kapan quickcount kpu ,-1
694, ngomong kpu fakta menunjukkan ada seorang yang nyalon presiden x langsung jadi, ngomong kpu fakta tunjuk nyalon presiden x langsung jadi ,1
695, nih pendapat dokter survey dan ahli it dari itb yang melaporkan dugaan kecurangan lembaga survei dan situng kpuri ke bawasluri, dokter survey ahli it itb lapor duga curang lembaga survei situng kpuri bawasluri ,-1
696, selain tutup situng komisioner kpu juga harus dijerat pidana , tutup situng komisioner kpu dijerat pidana ,-1
697, kpuid ngopi pagi, kpuid ngopi pagi ,-1
698, guru besar ui menyatakan komisi pemilihan umum kpu sudah tidak bagus, guru besar ui nyata komisi pilih umum kpu bagus ,-1
699, tidak ada lagi kepercayaan padamu kpu, percaya padamu kpu ,-1
700, perlukah dibentuk badan akreditasi kpu perlu pengontrolan sistem kerja mesin hitung kpu secara berkala, perlukah dibentuk badan akreditasi kpu perlu kontrol sistem kerja mesin hitung kpu cara kala ,-1
701, si kpuid tidak pernah berfikir sejauh ini tidak menyangka jika rakyat secara serentak mengambil langkah, kpuid pernah berfikir jauh sangka rakyat cara rentak ambil langkah ,-1
702, dan itu malah menjawab apa yang selama ini sedang terjadi  kpu curang  prabowo menang, malah jawab lama sedang jadi  kpu curang  prabowo menang ,-1
703, emangnya rizieq itu apa sih jabatannya kok hebat amat mau menghentikan proses hitung kpu yg dilindungi uu, emangnya rizieq jabat hebat henti proses hitung kpu dilindungi uu ,1
704, kpuid udah dihapus sama admin tapi tetep saja jejak digital sulit dihilangkan, kpuid udah dihapus sama admin tetep jejak digital sulit dihilangkan ,-1
705, kpuid tidak tunduk tapi sering salah input, kpuid tunduk sering salah input ,-1
706, begini kok kpu pengen dipuji pemilu jurdil, begini kpu pengen dipuji pemilu jurdil ,-1
707, ternyata admin kpuid tak sekeren admin bkngoid, nyata admin kpuid sekeren admin bkngoid ,-1
708, hanya orang bodoh mengulang kesalahan arti orang kpu bodoh curang, bodoh ulang salah arti kpu bodoh curang ,-1
709, semoga superhero avengers bisa mengawal kpu jurdil, moga superhero avengers kawal kpu jurdil ,-1
710, terlalu fanatik ya begini nih belum apa sedah ngaku jangan sampai malu pada saat pengumuman dari kpu kalo tidak sesuai harapan ya, lalu fanatik begini sedah ngaku jangan malu umum kpu suai harap ,1
711, kpuid benar benar human error mengejar order, kpuid benar benar human error kejar order ,-1
712, kalau kelompoknya menang kpu hebat kerjanya bagus sekali kalau kelompoknya kalah saya mau lihat, kalau kelompoknya menang kpu hebat kerjanya bagus kali kalau kelompoknya kalah lihat ,1
713, woi kpu kenapa ini suara prabowo d tps  kec lambuya sulawesi  tenggara yang awalnya di c  di cek di web  suara, kpu suara prabowo d tps  lambuya sulawesi  tenggara awalnya c  cek web  suara ,-1
714, kpuid pret tunggulah azab yang akan menimpa keluargamu euy kpu jangan curang, kpuid pret tunggulah azab timpa keluargamu kpu jangan curang ,-1
715, kpuid min kerja yang bener, kpuid kerja bener ,-1
716, efek situng kpu jumlah suara pendukung  dikurangi sby presiden ke   , efek situng kpu jumlah suara dukung  dikurangi sby presiden  ,-1
717, kpuid bagaimana ini kpuid , kpuid bagaimana kpuid ,-1
718, denger info dari mulut ruang input data situng asli ada di gambir bener gak pak kpuid, denger info mulut ruang input data situng asli gambir bener kpuid ,-1
719, keluarga anggota kpps yang meninggal sebut bantuan kpu belum optimal, keluarga anggota kpps tinggal sebut bantu kpu optimal ,-1
720, kpuid jangan buta dan tuli, kpuid jangan buta tuli ,-1
721, begini ruangan situng kpu  anggota bawaslu memeriksanya wahai anggota bawaslu pantaskah ruangan situng dengan biaya, begini ruang situng kpu  anggota bawaslu periksa wahai anggota bawaslu pantaskah ruang situng biaya ,-1
722, semakin stabil perolehan suara capres cawapres semakin kejang pihak yg kalah kpu selalu salah di mata yg kalah, makin stabil suara capres cawapres makin kejang pihak kalah kpu selalu salah mata kalah ,1
723, nasib bangsa ini ada di tangan kpuid, nasib bangsa tangan kpuid ,-1
724, maksud anda kita harus toleransi terhadap kecurangan mari jaga kedamaian percaya kpu, maksud toleransi hadap curang jaga damai percaya kpu ,1
725,gimana kita gak muak semakin di up date semakin banyak kecurangan kpu,gimana muak makin up date makin banyak curang kpu ,-1
726, kesalahan input data tidak ada perbaikan malah makin bertambah tambah kesalahan situng kpu dinilai tambah kacau dan brutal, salah input data baik malah makin tambah tambah salah situng kpu dinilai tambah kacau brutal ,-1
727, melihat kekalahan yang terus berdetak melalui situng kpu memang berat dan menyakitkan hati, lihat kalah terus detak lalu situng kpu memang berat sakit hati ,-1
728, kpuid apakah jadi indikasi tidak netral, kpuid jadi indikasi netral ,-1
729, kpuid  aja salah kita tidak percaya ini banyak salah, kpuid  salah percaya banyak salah ,-1
730, demo relawan prabowo sandiaga kpu kota bogor janji hitung suara jujur dan terbuka, demo relawan prabowo sandiaga kpu kota bogor janji hitung suara jujur buka ,1
731, kpu bayar asuransi kpu merangkap perusahaan asuransi kpu juga koalisi penipu umat asuransi pemulihan kpu, kpu bayar asuransi kpu rangkap usaha asuransi kpu koalisi tipu umat asuransi pulih kpu ,-1
732, kpuid stop situng tipu kalian, kpuid stop situng tipu kalian ,-1
733, kpu aja bisa apalagi ilc mudah sekali kayaknya bagi rezim ini, kpu ilc mudah kali kayaknya rezim ,-1
734, kalau kpu tidak netral semoga semua yang terlibat kecurangan mendapat azab yang pedih, kalau kpu netral moga semua libat curang azab pedih ,-1
735, masih saja ada yang ngotot salah input data apakah pada pemilu sebelumnya ada modus salah input data seperti juga, ngotot salah input data pemilu modus salah input data ,1
736, ayolah kpuid buat klarifikasi dan investigasi menanglah dengan jujur, ayolah kpuid buat klarifikasi investigasi menanglah jujur ,1
737, secara tidak langsung sekarang percaya kpu bukan hasil internal koalisinya, cara langsung sekarang percaya kpu bukan hasil internal koalisinya ,1
738, jokowi itu tidak akan menang kalau tidak curang makanya curang di mana mana sama saja dengan kpuid, jokowi menang kalau curang makanya curang mana mana sama kpuid ,-1
739, kpuid memalukan , kpuid palu ,-1
